content,channel,customerLabel
Zidio-ProjectLoop has solved our theme aggregation bottleneck. We can easily associate requests to themes.,SALES_CALL,Key Enterprise Client
The main dashboard takes more than 5 seconds to load when switching between views. This is slowing down our daily standups.,SUPPORT_TICKET,Enterprise Account A
API response times for the feedback list endpoint are very high. Can we look into optimizing database queries?,COMMUNITY,Developer User
"CSV exports are hitting timeout errors when downloading datasets larger than 10,000 rows. We need this for weekly reporting.",SUPPORT_TICKET,Analytics Lead
Overall page transitions feel a bit sluggish on low-end laptops. Let's optimize client-side bundle size.,SURVEY,
Database sync is occasionally locking up the UI during imports. Can we run imports asynchronously in the background?,MANUAL,Product Manager
Querying historical data is extremely slow. We need better indexes on the createdAt and status fields.,SUPPORT_TICKET,System Admin
The chart rendering on the analytics tab lags when there are too many data points. Let's add debouncing or aggregate data.,COMMUNITY,
Extremely fast and snappy app! The recent performance updates really made a huge difference.,TWITTER,SaaS Influencer
Search queries take too long to resolve when using multiple filter tags concurrently.,PLAY_STORE,Android User
Exporting large PDF reports is slow and sometimes fails completely without showing any error message.,SUPPORT_TICKET,Enterprise Account B
Please add dark mode. The bright white layout is hurting my eyes during late-night reviews.,COMMUNITY,Power User
The dark mode implementation is inconsistent. Some borders and input placeholders remain bright white.,APP_STORE,iOS Reviewer
I absolutely love the dark theme! It looks super sleek and premium. Great work on the design.,TWITTER,Design Enthusiast
Login and register screens are missing dark mode support. They are blindingly bright compared to the main dashboard.,SURVEY,
High-contrast accessibility theme requested for users with low vision. The current light mode gray-on-white text is hard to read.,SUPPORT_TICKET,Compliance Officer
Some charts in dark mode have poor color contrast. The dark blue text on a black background is unreadable.,COMMUNITY,Analyst
Auto-detect system theme setting for light/dark mode is not working on mobile Safari.,PLAY_STORE,Safari Mobile User
The theme toggle button should be easier to find. Maybe place it in the main sidebar instead of nested in settings.,SURVEY,
Custom color theme options would be amazing. Let us set primary brand colors for our workspace.,SALES_CALL,Prospective Client
Toggle dark mode instantly causes a brief white flash during layout repaint. Please fix the CSS variables loading order.,COMMUNITY,
The sidebar navigation is completely broken on iPhone 13. I cannot open the menu at all in portrait mode.,APP_STORE,iOS User
Tables do not scroll horizontally on mobile screens. The content is clipped and cut off.,PLAY_STORE,Mobile Tester
Touch targets for edit and delete buttons are too small on mobile. I keep clicking the wrong row.,SURVEY,
Having trouble using the CSV import interface on my iPad. Drag and drop doesn't work well on tablet browsers.,SUPPORT_TICKET,Operations Manager
The mobile app is really intuitive. Love being able to check customer requests on the go.,APP_STORE,iOS Reviewer
